Split,Precision@5,Recall@5,NDCG@5,Precision@10,Recall@10,NDCG@10,Accuracy,Precision_cls,Recall_cls,F1_score
Train,0.1841059197651664,0.9205295988258317,0.7303562272985135,0.09985934442270063,0.9985934442270059,0.7564392458043019,0.9120318893435332,0.5161753913894325,0.5161753913894325,0.5161753913894325
Valid,0.18160469667318985,0.9080234833659491,0.7018862283111399,0.09980430528375736,0.9980430528375733,0.7320836140516208,0.9044209215442092,0.4743150684931507,0.4743150684931507,0.4743150684931507
Test,0.1802837573385519,0.9014187866927593,0.7042181267229491,0.09985322896281802,0.9985322896281801,0.7367355963550212,0.9057107276285359,0.48140900195694714,0.48140900195694714,0.48140900195694714
