Split,Precision@5,Recall@5,NDCG@5,Precision@10,Recall@10,NDCG@10,Accuracy,Precision_cls,Recall_cls,F1_score
Train,0.1947842285004657,0.9739211425023284,0.9011692490076567,0.09997671530580564,0.9997671530580565,0.9098224495900307,0.9584079063392148,0.8151195280968643,0.8151195280968643,0.8151195280968643
Valid,0.19304347826086957,0.9652173913043478,0.8722491355549469,0.09993788819875776,0.9993788819875776,0.883589592935177,0.9481207726099993,0.768944099378882,0.768944099378882,0.768944099378882
Test,0.19130974549968963,0.9565487274984482,0.8604112007209741,0.09999999999999999,1.0,0.8750263281883258,0.9449893682694286,0.7510862818125388,0.7510862818125388,0.7510862818125388
