Split,Precision@5,Recall@5,NDCG@5,Precision@10,Recall@10,NDCG@10,Accuracy,Precision_cls,Recall_cls,F1_score
Train,0.1947066128531512,0.973533064265756,0.9010532224127784,0.0999689537410742,0.999689537410742,0.9098361892386957,0.9583380623532185,0.8148090655076063,0.8148090655076063,0.8148090655076063
Valid,0.19242236024844722,0.962111801242236,0.8694835041739059,0.09987577639751553,0.9987577639751553,0.8817219010109514,0.9474234711665853,0.7658385093167702,0.7658385093167702,0.7658385093167702
Test,0.19118559900682805,0.9559279950341403,0.8602158228202558,0.09999999999999999,1.0,0.8749833791345327,0.9449893682694286,0.7510862818125388,0.7510862818125388,0.7510862818125388
